anyo,mes,dia,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2026,07,30,DFSK,E5,43,Tarragona,Corporate,PHEV,KKL,REST,Standard,SAV,1
2026,07,30,EBRO,S400,43,Tarragona,Private,ICE,UKL2,REST,Standard,SAV,4
2026,07,30,EBRO,S700,43,Tarragona,Private,PHEV,UKL2,REST,Standard,SAV,3
2026,07,30,FIAT,500,43,Tarragona,Private,ICE,UKL0,REST,Standard,HACH 3P,1
2026,07,30,FIAT,PANDA,43,Tarragona,Private,ICE,UKL0,REST,Standard,HACH 5P,1
2026,07,30,FORD,KUGA,43,Tarragona,Corporate,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,FORD,RANGER,43,Tarragona,Corporate,PHEV,SKL,REST,Standard,PICKUP,1
2026,07,30,FORD,TOURNEO,43,Tarragona,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,FORD,TOURNEO,43,Tarragona,Private,ICE,SKL,REST,Standard,TRANSPORTER,3
2026,07,30,FORD,TRANSIT CUSTOM,43,Tarragona,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,GEELY,STARRAY,43,Tarragona,Private,PHEV,UKL2,REST,Standard,HACH 5P,2
2026,07,30,HYUNDAI,TUCSON,43,Tarragona,Private,ICE,UKL2,REST,Standard,SAV,4
2026,07,30,HYUNDAI,TUCSON,43,Tarragona,Private,PHEV,UKL2,REST,Standard,SAV,1
2026,07,30,KIA,EV2,43,Tarragona,Private,BEV,UKL1,REST,Standard,SAV,3
2026,07,30,KIA,EV3,43,Tarragona,Private,BEV,UKL1,REST,Standard,SAV,1
2026,07,30,KIA,NIRO,43,Tarragona,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,KIA,SPORTAGE,43,Tarragona,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,KIA,STONIC,43,Tarragona,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,30,LEAPMOTOR,B10,43,Tarragona,Private,BEV,UKL2,REST,Standard,SAV,1
2026,07,30,MAN,TGE,43,Tarragona,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,MAZDA,CX30,43,Tarragona,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,MAZDA,CX80,43,Tarragona,Corporate,PHEV,KKL,REST,Standard,SAV,1
2026,07,30,MAZDA,MAZDA 3,43,Tarragona,Private,ICE,UKL2,REST,Standard,SEDAN,3
2026,07,30,MERCEDES,CLASE GLC,43,Tarragona,Corporate,PHEV,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,MG,MG 3,43,Tarragona,Private,ICE,UKL1,REST,Standard,HACH 5P,2
2026,07,30,MG,ZS,43,Tarragona,Private,ICE,UKL1,REST,Standard,SAV,7
2026,07,30,NISSAN,JUKE,43,Tarragona,Private,ICE,UKL1,REST,Standard,SAV,1
