marca,canal,old_dgt,new_dgt,simmix,old_delta,new_delta,delta_change
CM,Private,0,1,0,0,1,1
COCAR,Corporate,0,49,0,0,49,49
COCAR,Private,0,2,0,0,2,2
COCAR,RAC,0,24,0,0,24,24
CODETRANS,Corporate,0,256,0,0,256,256
CODETRANS,Private,0,38,0,0,38,38
COINPOL,Corporate,0,267,0,0,267,267
COINPOL,Private,0,42,0,0,42,42
COINPOL,RAC,0,663,0,0,663,663
COLD CAR,Corporate,0,51,0,0,51,51
COLD CAR,Private,0,1,0,0,1,1
COLD CAR,RAC,0,97,0,0,97,97
COMPAIR HOLMAN,Private,0,1,0,0,1,1
COMPOCARR,Corporate,0,3,0,0,3,3
COMPOCARR,RAC,0,20,0,0,20,20
COMPOSITES REFORZADOS,Corporate,0,201,0,0,201,201
COMPOSITES REFORZADOS,Private,0,3,0,0,3,3
COMPOSITES REFORZADOS,RAC,0,54,0,0,54,54
CONCORDE,Private,0,4,0,0,4,4
CONCORDE,RAC,0,2,0,0,2,2
CONGRUAL,Corporate,0,17,0,0,17,17
CONGRUAL,RAC,0,2,0,0,2,2
CONSA,Corporate,0,51,0,0,51,51
CONSA,Private,0,2,0,0,2,2
CONSA,RAC,0,1,0,0,1,1
COOLGADES,Corporate,0,138,0,0,138,138
COOLGADES,Private,0,21,0,0,21,21
COOLGADES,RAC,0,9,0,0,9,9
CORNELLA,Corporate,0,7,0,0,7,7
CORNELLA,Private,0,4,0,0,4,4
CORVUS,Corporate,0,161,0,0,161,161
CORVUS,Private,0,37,0,0,37,37
COSMEA ESPINEDO,Corporate,0,13,0,0,13,13
COSTA,Corporate,0,1,0,0,1,1
COVALCA,Corporate,0,134,0,0,134,134
COVALCA,Private,0,10,0,0,10,10
COVALCA,RAC,0,26,0,0,26,26
CRASTIR,Corporate,0,19,0,0,19,19
CRASTIR,Private,0,1,0,0,1,1
CRASTIR,RAC,0,1,0,0,1,1
CROSSCAMP,RAC,0,3,0,0,3,3
CTE,Corporate,0,4,0,0,4,4
CTE,RAC,0,2,0,0,2,2
CUBY,Corporate,0,14,0,0,14,14
CUBY,RAC,0,3,0,0,3,3
CUPRA,Corporate,35583,35726,35720,-137,6,143
CUPRA,Private,19732,19589,19564,168,25,-143
CUPRA,RAC,12662,12662,12682,-20,-20,0
DAC,Corporate,0,1,0,0,1,1
DACIA,Corporate,25843,27231,27230,-1387,1,1388
DACIA,Private,133232,131844,132844,388,-1000,-1388
DACIA,RAC,10503,10503,10431,72,72,0
DAF,Corporate,0,1,0,0,1,1
DAIMLER,Corporate,0,1,0,0,1,1
DAIMLER AG,Corporate,0,1,0,0,1,1
DAIMLER AG,Private,0,1,0,0,1,1
DAIMLER CHRYSLER,Corporate,0,1,0,0,1,1
DAIMLER CHRYSLER,Private,0,2,0,0,2,2
DAIMLERCHRYSLER AG,Private,0,1,0,0,1,1
DAIMLERCHRYSLER CO JEEP,Corporate,0,1,0,0,1,1
DAIMLERCHRYSLER CO JEEP,Private,0,1,0,0,1,1
DAMON CHALLENGER,Private,0,1,0,0,1,1
DANGEL,Corporate,0,29,0,0,29,29
DANGEL,Private,0,2,0,0,2,2
DATSUN,Private,0,1,0,0,1,1
DAVID INDUSTRIAS MET,Corporate,0,7,0,0,7,7
DEL VALLE,Corporate,0,18,0,0,18,18
DEL VALLE,Private,0,11,0,0,11,11
DEL VALLE,RAC,0,3,0,0,3,3
DENZA,Corporate,0,2,4,-4,-2,2
DENZA,Private,0,0,0,0,0,0
DENZA,RAC,0,0,0,0,0,0
DETHLEFFS,Corporate,0,9,0,0,9,9
DETHLEFFS,Private,0,152,0,0,152,152
DETHLEFFS,RAC,0,120,0,0,120,120
DETHLEFFS CARAVANS,Private,0,1,0,0,1,1
DETHLEFFS CARAVANS,RAC,0,2,0,0,2,2
DEUTZ-FAHR,Corporate,0,1,0,0,1,1
DFSK,Corporate,0,1744,1746,-1746,-2,1744
DFSK,Private,0,554,656,-656,-102,554
DFSK,RAC,0,231,257,-257,-26,231
DIAZCUTILLAS,Corporate,0,3,0,0,3,3
DIAZCUTILLAS,Private,0,1,0,0,1,1
